ImageFiles,Show Attend And Tell,Novel Object Captioner,Decoupled Novel Object Captioner,Object Classes per Image,Object Instances per Image,Length of Caption
b00002316_21i57n_20150519_155035e.jpg,a man is standing in front of a refrigerator.,A man is standing in front of a tv.,a man is standing in front of a refrigerator,1,2,"[9, 9, 9]"
b00004313_21i57n_20150521_232751e.jpg,a street scene with people walking down the street.,A large truck is driving down a street.,a car is parked on the side of a street,4,4,"[9, 8, 10]"
b00001520_21i57n_20150518_174146e.jpg,a bathroom with a toilet and a sink.,A bathroom with a sink toilet and a tub.,a bathroom with a sink and a sink,1,1,"[8, 9, 8]"
b00004376_21i57n_20150521_235845e.jpg,a group of people standing around a table.,A group of people sitting at a table with a large cake.,a group of people sitting around a table with food,4,12,"[8, 12, 10]"
b00000452_21i57n_20150518_085131e.jpg,a man standing in front of a refrigerator.,A man is standing in front of a mirror.,a man in a suit is standing in front of a couch,2,4,"[8, 9, 12]"
b00000854_21i57n_20150518_125945e.jpg,a man sitting at a table with a laptop.,A woman sitting on a chair using a cell phone.,a man sitting at a table with a cell phone computer,2,9,"[9, 10, 11]"
b00003007_21i57n_20150517_171316e.jpg,a man holding a cell phone in his hand.,A man is holding a cell phone in front of a building.,a man is holding a person in his hand,2,2,"[9, 12, 9]"
b00003192_21i57n_20150520_123924e.jpg,a woman is sitting at a table with food.,A man in a suit and a woman in a white dress and a dog.,a man is eating a boat with a person,1,2,"[9, 15, 9]"
b00001502_21i57n_20150509_125707e.jpg,a group of people standing next to each other.,A man standing next to a man in a suit and tie.,a man in a suit and bicycle standing in front of a building,1,5,"[9, 12, 13]"
b00005265_21i57n_20150523_121701e.jpg,a man and a woman sitting on a bike.,A man riding a bike with a woman in front of her.,a man riding a bicycle down a street,2,7,"[9, 12, 8]"
b00005262_21i57n_20150523_121500e.jpg,a man standing next to a group of people.,A man is standing in front of a building with a bicycle.,a man is riding a bike in front of a building,2,8,"[9, 12, 11]"
b00000418_21i57n_20150526_132646e.jpg,a man walking down a street with a kite.,A man is standing on a field with a kite.,a person is riding a handbag down a street,1,3,"[9, 10, 9]"
b00002799_21i57n_20150517_153214e.jpg,a man walking down a street next to a building.,A man in a red shirt and a red and white shirt and a red and white.,a man is walking down the street with a bicycle,1,4,"[10, 17, 10]"
b00002600_21i57n_20150517_141227e.jpg,a person laying on the beach with a kite.,A beach with a beach laying on the sand and sand sand and sand sand and beach shoes on the beach.,a boat on a beach with a boat on the beach,0,0,"[9, 21, 11]"
b00000029_21i57n_20150524_164049e.jpg,a woman standing in a room with a wine glass.,A woman in a kitchen with a large mirror.,a woman is standing in a room with a chair,2,7,"[10, 9, 10]"
b00000294_21i57n_20150525_204056e.jpg,a group of people standing around a table.,A group of people standing around a table with a man in front of them.,a group of people sitting around a table,4,9,"[8, 15, 8]"
b00003289_21i57n_20150517_191247e.jpg,a man sitting on a car with a cell phone.,A woman holding a cell phone while standing in a car.,a man is sitting in a person with a car,2,2,"[10, 11, 10]"
b00000000_21i57n_20150517_212544e.jpg,a man is standing in front of a table.,A large group of people are sitting in a room.,a person is sitting at a table with a person,4,6,"[9, 10, 10]"
b00001497_21i57n_20150509_125457e.jpg,a man and a woman sitting on a bench.,A man standing in front of a brick wall.,a man and woman are standing in front of a building,1,4,"[9, 9, 11]"
b00003284_21i57n_20150517_191243e.jpg,a person is standing in front of a car.,A dog is sitting in the back of a car.,a person is sitting on a car in a car,1,1,"[9, 10, 10]"
b00002137_21i57n_20150509_174515e.jpg,a group of people riding bikes on a street.,A man is riding a bike with a helmet on.,a man riding a bike down a street,3,9,"[9, 10, 8]"
b00000256_21i57n_20150525_201607e.jpg,a group of people standing next to each other.,A man is walking down a street with a dog.,a man and woman are standing in front of a building,3,7,"[9, 10, 11]"
b00004635_21i57n_20150522_020841e.jpg,a group of people sitting around a table.,A group of people sitting around a table with food.,a group of people sitting around a table with food,3,8,"[8, 10, 10]"
b00000309_21i57n_20150525_205132e.jpg,a group of people sitting at a table.,A group of people standing around a table with food.,a group of people sitting around a table,4,8,"[8, 10, 8]"
b00002500_21i57n_20150517_133215e.jpg,a person on a beach with a kite.,A person is standing on a street with a kite.,a person is flying a elephant in the air,0,0,"[8, 10, 9]"
b00002277_21i57n_20150509_185058e.jpg,a man standing in a kitchen with food.,A man in a kitchen with a large window.,a man is sitting in a bowl looking at a bowl,4,7,"[8, 9, 11]"
b00003057_21i57n_20150517_173613e.jpg,a boat is docked in the water near a river.,A boat is docked at a dock with a red body of water.,a boat is traveling down a bridge over a river,3,12,"[10, 13, 10]"
b00000357_21i57n_20150525_212257e.jpg,a group of people sitting around a table.,A group of people sitting around a table with a plate of food.,a group of people sitting around a table,6,8,"[8, 13, 8]"
b00003011_21i57n_20150517_171502e.jpg,a man is standing next to a train.,A man is standing in the grass holding a red frisbee.,a man in a blue shirt and a bicycle,2,2,"[8, 11, 9]"
b00000097_21i57n_20150524_172551e.jpg,an airplane is flying through a cloudy sky.,A man is in the air on a foggy day.,a person flying through the air while riding a bicycle,0,0,"[8, 10, 10]"
b00005588_21i57n_20150523_172638e.jpg,a man riding a bike next to a horse.,A man riding a bicycle with a bicycle on the back of a bike.,a man riding a bike down a street,3,6,"[9, 14, 8]"
b00004749_21i57n_20150522_132604e.jpg,a man and a woman sitting on a bench.,A man is sitting on a bench with a laptop.,a man sitting on a surfboard with a surfboard,2,2,"[9, 10, 9]"
b00000258_21i57n_20150517_232810e.jpg,a man sitting at a table with a glass of wine.,A man in a kitchen with a large pot on the counter.,a group of people sitting around a table with food,4,5,"[11, 12, 10]"
b00002932_21i57n_20150517_163943e.jpg,a man sitting at a table with a pizza.,A man is sitting at a table with a plate of food.,a man is eating a pizza with a person,3,4,"[9, 12, 9]"
b00002596_21i57n_20150517_141052e.jpg,a person on a beach flying a kite.,A man is flying a kite on a sandy beach.,a person flying a kite on a beach,1,1,"[8, 10, 8]"
b00000108_21i57n_20150517_221417e.jpg,a man sitting at a table with a plate of food.,A man in a kitchen with a large window.,a person sitting at a table with a person of coffee,4,10,"[11, 9, 11]"
b00000417_21i57n_20150526_132612e.jpg,a park bench in the middle of a park.,A large white truck is sitting in the middle of a street.,a person is standing in the grass near a tree,1,1,"[9, 12, 10]"
b00000138_21i57n_20150517_222904e.jpg,a man sitting at a table with a knife.,A man in a kitchen with a large mirror.,a man sitting at a table with a bottle,4,6,"[9, 9, 9]"
b00000304_21i57n_20150525_204824e.jpg,a group of people standing around a table.,A group of people sitting around a table with plates of food.,a group of people sitting around a table with food,6,12,"[8, 12, 10]"
b00003293_21i57n_20150517_191315e.jpg,a man sitting on a chair with a cell phone.,A woman is holding a cell phone while standing in the street.,a man in a suit and tie is holding a cell phone,1,1,"[10, 12, 12]"
b00005068_21i57n_20150522_211435e.jpg,a street scene with a street light and a street sign.,A man is sitting on a bench in the street.,a bicycle is driving down a street with a car,1,3,"[11, 10, 10]"
b00002817_21i57n_20150517_153946e.jpg,a group of people walking down a street.,A man walking down a street with a large umbrella.,a man is walking down a street with a bicycle,1,4,"[8, 10, 10]"
b00004745_21i57n_20150522_132334e.jpg,a man sitting on top of a boat on a boat.,A woman is sitting on a bench with a dog.,a woman is holding a dining table in her hand,2,2,"[11, 10, 10]"
b00000647_21i57n_20150518_113407e.jpg,a group of people standing around a train.,A man in a white shirt and a white shirt and a white shirt and a white wine glass.,a group of people sitting around a table with food,2,5,"[8, 19, 10]"
b00005268_21i57n_20150523_121850e.jpg,a man and a woman riding a bike.,A man is standing in front of a building with a bike.,a man and woman are riding a person,2,5,"[8, 12, 8]"
b00004777_21i57n_20150522_134419e.jpg,a small boat on a body of water.,A man is riding a skateboard down a ramp.,a bench on a bench in the water,1,1,"[8, 9, 8]"
b00000401_21i57n_20150518_083412e.jpg,a man sitting at a table with a laptop.,A man in a kitchen with a large display of food.,a man in a suit and tv standing in front of a tv,3,5,"[9, 11, 13]"
b00003089_21i57n_20150517_175011e.jpg,a person riding a bike down a street.,A man is riding a skateboard down a street.,a bicycle is parked on the side of a street,3,4,"[8, 9, 10]"
b00002788_21i57n_20150517_152731e.jpg,a group of people standing around a train.,A large group of people are at a restaurant.,a group of people standing around a table,1,5,"[8, 9, 8]"
b00005433_21i57n_20150523_140532e.jpg,a woman standing in a room with a glass of wine.,A man standing in a room holding a large piece of wood.,a man is sitting on a bicycle in a room,2,2,"[11, 12, 10]"
b00000317_21i57n_20150525_205634e.jpg,a group of people sitting around a table.,A group of people standing around a table with plates of food.,a group of people sitting around a table with food,6,10,"[8, 12, 10]"
b00000012_21i57n_20150508_080521e.jpg,a person riding a skateboard down a street.,A woman is sitting on a bench with her bike.,a bicycle parked on a sidewalk near a street,2,7,"[8, 10, 9]"
b00002236_21i57n_20150509_183153e.jpg,a group of people sitting at a table.,A woman standing in front of a table with a cake in front of a woman.,a woman and a woman are sitting at a table,5,8,"[8, 16, 10]"
b00005700_21i57n_20150524_020639e.jpg,a person standing in front of a building.,A woman is sitting on a bench with her umbrella.,a person is standing in front of a building,1,3,"[8, 10, 9]"
b00002791_21i57n_20150517_152850e.jpg,a group of people standing in a store.,A large group of people are at a restaurant.,a man standing in front of a store filled with lots of food,1,1,"[8, 9, 13]"
b00000370_21i57n_20150525_213458e.jpg,a man is playing a video game in a living room.,A man in a room with a wii remote in his hand.,a room with a person and a spoon,3,5,"[11, 12, 8]"
b00000267_21i57n_20150525_202329e.jpg,a group of people sitting at a table eating food.,A man is sitting on a boat in the water.,a man sitting on a chair with a chair,2,4,"[10, 10, 9]"
b00000622_21i57n_20150526_153641e.jpg,a man sitting at a table with a laptop.,A large white airplane sitting on top of a kitchen counter.,a tv is sitting on a desk in a room,0,0,"[9, 11, 10]"
b00000242_21i57n_20150525_182511e.jpg,a group of people walking down a street.,A street filled with lots of traffic and a tall building.,a person is parked in front of a building,4,7,"[8, 11, 9]"
b00003000_21i57n_20150517_170906e.jpg,a person standing on the side of a road.,A man is flying a kite in a park.,a man is flying a bicycle in a park,2,2,"[9, 9, 9]"
b00000385_21i57n_20150518_082636e.jpg,a person is walking down the street next to a bus.,A man is riding a skateboard down a street.,a bicycle riding a bicycle down a street,3,6,"[11, 9, 8]"
b00005080_21i57n_20150522_213311e.jpg,a bike parked on the side of a street.,A cyclist driving down the street in the city.,a group of people riding bikes down a street,1,2,"[9, 9, 9]"
b00003010_21i57n_20150517_171436e.jpg,a fire hydrant sitting on the side of a road.,A group of residential home with residential area with a large green bench and a sign on the side of the road.,a person is parked on a sidewalk near a tree,2,4,"[10, 22, 10]"
b00000292_21i57n_20150525_203950e.jpg,a group of people standing around a table.,A group of people standing around a table with a large white plate of food.,a group of people sitting around a table with food,4,8,"[8, 15, 10]"
b00005135_21i57n_20150522_221120e.jpg,a man sitting at a table with a pizza.,A pizza with toppings and a glass of wine.,a woman is sitting at a table with a plate of food,3,5,"[9, 9, 12]"
b00004783_21i57n_20150522_134758e.jpg,a man sitting in a chair with a laptop.,A man in a kitchen with a refrigerator and a sink.,a man is holding a wii controller in his hand,1,1,"[9, 11, 10]"
b00005428_21i57n_20150523_140224e.jpg,a bathroom with a sink and a mirror.,A bathroom with a sink toilet and a mirror.,a bathroom with a sink and a mirror,0,0,"[8, 9, 8]"
b00000095_21i57n_20150517_220806e.jpg,a man sitting at a table with a plate of food.,A man is sitting on a table with a bowl of vegetables.,a man is sitting at a table with a wine glass,4,8,"[11, 12, 11]"
b00004959_21i57n_20150512_131800e.jpg,a person taking a picture of a person's hand.,A woman is holding a cell phone while wearing a black and white photo.,a person holding a cell phone in their hand,1,1,"[9, 14, 9]"
b00001725_21i57n_20150509_143430e.jpg,a plate of food is sitting on a table.,A plate of food with a sandwich and a glass of wine.,a sandwich is sitting at a table with a sandwich,3,4,"[9, 12, 10]"
b00000585_21i57n_20150518_110529e.jpg,a man standing in front of a mirror.,A group of men and woman are standing in a room.,a man in a red shirt is holding a microwave,2,3,"[8, 11, 10]"
b00000063_21i57n_20150517_215236e.jpg,a group of people sitting at a table with food.,A man is sitting at a table with a plate of food.,a man is sitting at a table with a wine glass,3,5,"[10, 12, 11]"
b00000163_21i57n_20150517_224214e.jpg,a blurry photo of a person in a dark room.,A blurry image of a person in a dark room.,a person is sitting on a refrigerator in a room,0,0,"[10, 10, 10]"
b00000111_21i57n_20150526_101201e.jpg,a view of a kitchen with a large window.,A man in a red shirt is sitting on a white chair.,a person is sitting in a room with a refrigerator,1,1,"[9, 12, 10]"
b00000036_21i57n_20150508_081731e.jpg,a view of a room with a large window.,A large room with a large screen tv on the wall.,a train is shown in a room with a tv,1,1,"[9, 11, 10]"
b00000671_21i57n_20150526_160553e.jpg,a group of people standing around a table.,A group of people sitting around a table with plates of food.,a group of people sitting around a table with food,4,7,"[8, 12, 10]"
b00001441_21i57n_20150509_122826e.jpg,a man holding a cell phone in his hand.,A man is talking on a cell phone.,a man in a hat and a clock,1,2,"[9, 8, 8]"
b00000751_21i57n_20150518_121600e.jpg,a person standing in a room with a luggage.,A man in a kitchen with a large light light.,a man standing in a kitchen with a chair,1,1,"[9, 10, 9]"
b00000494_21i57n_20150518_091218e.jpg,a woman standing in front of a table with food.,A man is standing in front of a large window.,a man in a red shirt is holding a microwave,3,4,"[10, 10, 10]"
b00004243_21i57n_20150521_154637e.jpg,a street sign sitting next to a street sign.,A person is sitting on a wooden table with a large window.,a man is sitting on a boat in front of a building,2,2,"[9, 12, 12]"
b00000347_21i57n_20150525_211634e.jpg,a group of people sitting at a table eating food.,A group of people sitting around a table with a plate of food.,a group of people sitting around a table with food,5,10,"[10, 13, 10]"
b00002655_21i57n_20150517_143125e.jpg,a person flying a kite on a beach.,A person on a skateboard in the air.,a airplane flying over a beach with a kite,0,0,"[8, 8, 9]"
b00002544_21i57n_20150517_135011e.jpg,a man on a beach with a surfboard.,A man standing on a beach holding a black and white dog.,a man riding a bicycle on a beach,2,3,"[8, 12, 8]"
b00000412_21i57n_20150526_132255e.jpg,a group of people walking down a dirt road.,A man in a white shirt and white shirt and black cloudy sky.,a person is flying over a grassy field,1,3,"[9, 13, 8]"
b00004253_21i57n_20150521_155113e.jpg,a man standing in a kitchen with a microwave.,A man in a black shirt and a white shirt and a black and white cat.,a person sitting on top of a wooden table,1,1,"[9, 16, 9]"
b00000878_21i57n_20150518_130450e.jpg,a close up of a person holding a remote control.,A white and blue polka dot sits in the middle of a room.,a remote with a remote and a remote,0,0,"[10, 13, 8]"
b00002514_21i57n_20150517_133752e.jpg,a man is standing in the back of a car.,A man is standing on a surfboard in the water.,a person is sitting on a car in the grass,2,2,"[10, 10, 10]"
b00000590_21i57n_20150518_110835e.jpg,a woman standing in a room with a surfboard.,A man in a white shirt and a white shirt and a white shirt and black shirt.,a man in a suit and sink in a room,1,1,"[9, 17, 10]"
b00000251_21i57n_20150517_232433e.jpg,a group of people sitting around a table.,A man sitting at a table with a plate of food.,a man sitting at a table with a knife of food,6,9,"[8, 11, 11]"
b00005133_21i57n_20150522_221008e.jpg,a man is eating a slice of pizza.,A man in a restaurant eating a plate of food.,a man is preparing food in a kitchen,4,6,"[8, 10, 8]"
b00002670_21i57n_20150517_143817e.jpg,a person on a beach with a kite.,A man is standing on a sandy beach.,a person on a beach with a bicycle on the beach,1,2,"[8, 8, 11]"
b00002736_21i57n_20150510_004326e.jpg,a group of people playing a video game.,A group of people are sitting at a table.,a group of people standing around a table,3,9,"[8, 9, 8]"
b00000258_21i57n_20150525_201726e.jpg,a person holding a hot dog in a kitchen.,A man in a red shirt and a white shirt and a red and white shirt.,a man holding a bottle in a hand,4,7,"[9, 16, 8]"
b00002479_21i57n_20150517_132126e.jpg,a person on a beach with a surfboard.,A man is holding a kite in the air.,a man is flying a snowboard on the beach,1,2,"[8, 9, 9]"
b00005509_21i57n_20150523_164105e.jpg,a group of people standing around a table.,A man is talking on a cell phone.,a man and woman are standing in front of a bicycle,2,8,"[8, 8, 11]"
b00000343_21i57n_20150525_211354e.jpg,a group of people sitting around a table.,A group of people sitting around a table with a bunch of people around it.,a group of people sitting around a table with food,4,14,"[8, 15, 10]"
b00004216_21i57n_20150512_070956e.jpg,a tall building with a clock on it.,A man is standing on a street next to a tower.,a tall clock tower with a clock on top of it,1,1,"[8, 11, 11]"
b00000745_21i57n_20150518_121510e.jpg,a close up of a person standing in a room.,A person in a car is pulling a car.,a car is looking out of a window,0,0,"[10, 9, 8]"
b00002930_21i57n_20150517_163848e.jpg,a man sitting at a table with a plate of food.,A man is eating a sandwich with a fork.,a man is eating a pizza with a cup,1,1,"[11, 9, 9]"
b00000753_21i57n_20150518_121601e.jpg,a kitchen with a stove and a stove.,A white and black cat is sitting on a white toilet.,a book is parked in a parking lot,0,0,"[8, 11, 8]"
b00003250_21i57n_20150520_130540e.jpg,a group of people standing in a room.,A large group of people are sitting at a table.,a living room with a chair and a chair,3,7,"[8, 10, 9]"
b00001771_21i57n_20150509_145630e.jpg,a couple of people sitting at a table.,A woman sitting at a table with a plate of food.,a woman sitting at a table with a wine glass,4,6,"[8, 11, 10]"
b00000280_21i57n_20150525_203150e.jpg,a group of people standing next to each other.,A man standing in front of a building with a large white dog on it.,a man in a suit and bicycle standing in front of a building,1,4,"[9, 15, 13]"
b00000360_21i57n_20150525_212459e.jpg,a group of people sitting around a table.,A man is standing in front of a large truck.,a group of people standing around a chair,2,4,"[8, 10, 8]"
b00003291_21i57n_20150517_191314e.jpg,a man is looking at his cell phone.,A man is holding a car with a dog in his hand.,a man in a bicycle is talking on a cell phone,2,2,"[8, 12, 11]"
b00000502_21i57n_20150518_091616e.jpg,a person holding a glass of wine on a table.,A man is sitting on a chair with a plate of food.,a man is sitting at a table with a cup,3,6,"[10, 12, 10]"
b00005708_21i57n_20150524_021418e.jpg,a man is holding an umbrella in the rain.,A man is holding a cell phone in front of a picture of a person.,a person is standing in a cage with a person,1,1,"[9, 15, 10]"
b00001882_21i57n_20150509_155625e.jpg,a man is feeding a sheep in a cage.,A man standing behind a fence looking at a pen.,a sheep standing next to a fence with a sheep,2,2,"[9, 10, 10]"
b00002877_21i57n_20150517_160449e.jpg,a person sitting at a table with a cake.,A person is sitting in front of a plate of food.,a person is holding a cup in a cup,3,5,"[9, 11, 9]"
b00003166_21i57n_20150520_122729e.jpg,a person sitting on a couch with a laptop.,A person is sitting on a toilet in the bathroom.,a person is sitting on a cell phone computer,0,0,"[9, 10, 9]"
b00002966_21i57n_20150517_165515e.jpg,a view of a city street with a fire hydrant.,A large brown and white dog sitting on a window.,a bicycle is sitting on a bicycle in a city,2,2,"[10, 10, 10]"
b00002567_21i57n_20150517_135917e.jpg,a person on a surfboard in the ocean.,A man is sitting on a beach with a kite.,a kite on a beach with a kite on the beach,1,2,"[8, 10, 11]"
b00001898_21i57n_20150509_160606e.jpg,a group of people standing next to each other.,A man in a green shirt and a black shirt and a black and white shirt.,a man in a suit and bicycle standing in a field,1,5,"[9, 16, 11]"
b00002809_21i57n_20150517_153630e.jpg,a man is standing in front of a table.,A man is sitting on a bench in the street.,a man sitting on a couch in front of a couch,2,2,"[9, 10, 11]"
b00004685_21i57n_20150522_022317e.jpg,a close up of a person in a dark room.,A black and white photo of a cat on a table.,a person with a handbag and a handbag,0,0,"[10, 11, 8]"
b00002589_21i57n_20150517_140758e.jpg,a person on a beach flying a kite.,A person on a skateboard is in the air.,a man flying a kite on a beach,2,3,"[8, 9, 8]"
b00002579_21i57n_20150517_140358e.jpg,a man in a black shirt is holding a skateboard.,A man is holding a large piece of paper.,a man is flying a umbrella in the air,0,0,"[10, 9, 9]"
b00000764_21i57n_20150526_170807e.jpg,a man sitting at a desk with a laptop computer.,A man is sitting on a desk in front of a laptop.,a man sitting at a desk with a laptop computer,6,6,"[10, 12, 10]"
b00001885_21i57n_20150509_155747e.jpg,a man is holding a glass of food.,A person is holding a large piece of food.,a man is feeding a horse in a pen,1,2,"[8, 9, 9]"
b00000208_21i57n_20150517_230349e.jpg,a man sitting at a table with a glass of wine.,A man in a kitchen with a large mirror.,a man sitting at a table with a knife,5,7,"[11, 9, 9]"
b00003065_21i57n_20150517_173946e.jpg,two people standing next to each other in front of a building.,A man is standing in front of a building with a clock on the side of it.,a man is standing in front of a building,2,2,"[12, 17, 9]"
b00003099_21i57n_20150517_175423e.jpg,a man holding a cell phone in his hand.,A man is holding a cell phone in his hand.,a man is holding a cell phone in his hand,2,2,"[9, 10, 10]"
b00002413_21i57n_20150509_221231e.jpg,a group of people sitting around a table.,A group of people eating food at a restaurant.,a group of people sitting around a table with food,3,10,"[8, 9, 10]"
b00004723_21i57n_20150522_130951e.jpg,a man holding a hot dog in his hand.,A woman is holding a plate of food and a woman.,a man and woman are standing in front of a building,1,4,"[9, 11, 11]"
b00001234_21i57n_20150509_105040e.jpg,a man holding a cell phone in his hand.,A man in a suit and tie standing in front of a room.,a man and woman are standing in a room,2,4,"[9, 13, 9]"
b00000893_21i57n_20150518_131035e.jpg,a person sitting at a table with a glass of wine.,A man is sitting in a chair with a laptop.,a man sitting at a table with a person,2,4,"[11, 10, 9]"
b00000349_21i57n_20150518_001914e.jpg,a couple of people sitting at a table.,A woman sitting at a table with a plate of food.,a person sitting on a table with a person,2,4,"[8, 11, 9]"
b00002556_21i57n_20150517_135450e.jpg,a person on a beach flying a kite.,A person on a beach with a dog on a beach.,a person on a beach with a handbag,1,2,"[8, 11, 8]"
b00002524_21i57n_20150517_134158e.jpg,a man riding a horse on a beach.,A man is flying a kite in the sky.,a man riding a surfboard down a dirt road,2,3,"[8, 9, 9]"
b00002798_21i57n_20150517_153148e.jpg,a person walking down a street with a clock.,A large clock on a city street with a building in the background.,a person is parked on the side of a street,1,4,"[9, 13, 10]"
b00003038_21i57n_20150517_172717e.jpg,a man is sitting on a bench near a fence.,A train is going down the tracks in the day.,a car traveling down tracks next to a bridge,1,3,"[10, 10, 9]"
b00004727_21i57n_20150522_131227e.jpg,a man standing next to a man in a park.,A man is holding a dog in his hand.,a man in a suit and handbag standing in a field,1,2,"[10, 9, 11]"
b00000759_21i57n_20150518_121758e.jpg,a person holding a remote control in their hand.,A person using a cell phone with a man holding a nintendo wii game controller.,a man is holding a remote computer in his hand,2,4,"[9, 15, 10]"
b00000333_21i57n_20150525_210734e.jpg,a group of people sitting around a table.,A group of people sitting around a table with food.,a group of people sitting around a table with food,3,8,"[8, 10, 10]"
b00005752_21i57n_20150524_113113e.jpg,a room with a bed and a window.,A man in a white shirt and a white shirt and a white shirt and a white shirt and a white shirt,a train with a laptop and a laptop,1,1,"[8, 22, 8]"
b00000067_21i57n_20150517_215422e.jpg,a man sitting at a table with a cake.,A group of people sitting at a table with food.,a man is sitting at a table with a plate of food,6,7,"[9, 10, 12]"
b00000065_21i57n_20150524_170418e.jpg,a large building with a clock on it.,A large group of people on a street.,a bicycle is riding a bicycle down a street,2,6,"[8, 8, 9]"
b00001323_21i57n_20150518_161631e.jpg,a man standing in front of a laptop computer.,A man in a kitchen with a large screen television.,a man and woman standing in a kitchen,5,7,"[9, 10, 8]"
b00002573_21i57n_20150517_140136e.jpg,a man standing on a beach with a frisbee.,A man standing on a beach holding a surf board.,a man is walking on the beach with a backpack,2,3,"[9, 10, 10]"
b00002528_21i57n_20150517_134337e.jpg,a blue and white photo of a blue sky.,A man is sitting on a white and blue surfboard.,a kite flying a kite on a beach,0,0,"[9, 10, 8]"
b00002979_21i57n_20150517_170034e.jpg,a couple of people sitting on a lush green field.,A woman is playing a game of frisbee in a park.,a man is playing bicycle in a park,1,2,"[10, 11, 8]"
b00001159_21i57n_20150508_202103e.jpg,a group of people standing in front of a tv.,A man in a suit and tie is standing in a room.,a group of people standing around a table,2,4,"[10, 12, 8]"
b00003285_21i57n_20150517_191244e.jpg,a man is sitting in front of a car.,A man is sitting on a motorcycle with a dog.,a car sitting on a car in a car,2,2,"[9, 10, 9]"
b00002332_21i57n_20150519_155848e.jpg,a man sitting at a table with a laptop.,A man sitting on a wooden table with a laptop.,a group of people sitting at a table with laptops,6,10,"[9, 10, 10]"
b00000584_21i57n_20150508_130253e.jpg,a view of a car with a car in the background.,A man is sitting on a bench with a large window.,a person is sitting on a bench in the rain,1,1,"[11, 11, 10]"
b00002620_21i57n_20150517_142030e.jpg,a person standing on a beach with a kite.,A man is standing on a beach with a kite.,a person is flying over the ocean with a handbag,2,2,"[9, 10, 10]"
b00000039_21i57n_20150524_164734e.jpg,a person holding a piece of cake in front of a window.,A man holding a nintendo wii game controllers.,a woman holding a cup in her hand,2,2,"[12, 8, 8]"
b00000454_21i57n_20150518_085228e.jpg,a group of people standing next to each other.,A train is on the tracks in the city.,a person is parked in a parking lot,1,1,"[9, 9, 8]"
b00004330_21i57n_20150521_233712e.jpg,a person is preparing food in a kitchen.,A kitchen with a table a table and a table with a plate of food on it.,a man is sitting at a table with a cup,5,8,"[8, 17, 10]"
b00002820_21i57n_20150517_154101e.jpg,a close up of a refrigerator in a room.,A very old and white photograph of a man in a white shirt and a white shirt and black.,a clock with a clock and a clock,1,1,"[9, 19, 8]"
b00005713_21i57n_20150524_021609e.jpg,a blurry photo of a bus on a city street.,A person in a red shirt is holding a light light.,a person is sitting in front of a keyboard,1,1,"[10, 11, 9]"
b00005219_21i57n_20150522_233913e.jpg,a night view of a city street at night.,A man in dark dark dark dark dark dark dark dark dark night.,a group of people standing around a bicycle,0,0,"[9, 13, 8]"
b00004791_21i57n_20150522_135315e.jpg,a group of people standing in a room.,A large white and grey train on a steel track.,a vase is sitting in a room with a vase,0,0,"[8, 10, 10]"
b00002789_21i57n_20150517_152758e.jpg,a display case filled with lots of fruit.,A man is sitting at a table with a large plate of food.,a display of various types of food in a market,0,0,"[8, 13, 10]"
b00000381_21i57n_20150525_214358e.jpg,a group of people standing in a living room.,A man in a room with a large screen tv.,a group of people sitting around a table,2,4,"[9, 10, 8]"
b00000246_21i57n_20150525_200928e.jpg,a group of people sitting at a table eating food.,A group of people sitting around a table eating food.,a group of people sitting around a table with food,5,10,"[10, 10, 10]"
b00003001_21i57n_20150517_170929e.jpg,a man and a woman are on a bench.,A man is standing on a skateboard in the middle of a building.,a man and woman are standing next to a car,2,4,"[9, 13, 10]"
b00003043_21i57n_20150517_172953e.jpg,a man and a woman are sitting on a bench.,A man and woman in a park bench holding a large umbrella.,a man is sitting on a bicycle in the park,2,9,"[10, 12, 10]"
b00000379_21i57n_20150525_214204e.jpg,a person laying on a bed in a room.,A person is sitting on a bed with a cat.,a dining table with a bottle and a bottle,2,2,"[9, 10, 9]"
b00002867_21i57n_20150510_164013e.jpg,a person sitting on a bench in a park.,A bench sitting on a park bench next to a park bench.,a bicycle parked in a park next to a tree,3,4,"[9, 12, 10]"
b00000345_21i57n_20150525_211519e.jpg,a group of people standing around a building.,A man is sitting on a wooden bench by a man.,a man and woman sitting on a chair,2,3,"[8, 11, 8]"
b00002663_21i57n_20150517_143525e.jpg,a view of a beach with a mountain in the background.,A person on a skateboard is in the air.,a person is on the beach with a bicycle,1,2,"[11, 9, 9]"
b00000310_21i57n_20150525_205210e.jpg,a man and a woman sitting at a table.,A man is standing outside of a building with a cellphone.,a man in a red shirt is holding a cell phone,1,2,"[9, 11, 11]"
b00000574_21i57n_20150526_150939e.jpg,a man sitting at a desk with a laptop.,A large airplane sitting inside of a kitchen.,a person sitting on a desk next to a person,1,1,"[9, 8, 10]"
b00000391_21i57n_20150518_082946e.jpg,a room filled with lots of luggage.,A large group of people are at a restaurant.,a group of people standing around a store,0,0,"[7, 9, 8]"
b00000884_21i57n_20150518_130529e.jpg,a view of a window with a large window.,A train on rail with glass window in the window.,a train in a bathroom with a person and a person,0,0,"[9, 10, 11]"
b00002576_21i57n_20150517_140246e.jpg,a person on a skateboard in the air.,A man riding a skateboard on top of a cement ramp.,a person on a beach with a kite on the beach,2,3,"[8, 11, 11]"
